fecha,sexo,num_casos
2020-05-06,M,129
2020-05-07,H,42
2020-05-07,M,88
2020-05-08,H,48
2020-05-08,M,100
2020-05-09,H,34
2020-05-09,M,85
2020-05-10,H,21
2020-05-10,M,44
2020-05-11,H,38
2020-05-11,M,46
2020-05-12,H,23
2020-05-12,M,49
2020-05-13,H,40
2020-05-13,M,106
2020-05-14,H,59
2020-05-14,M,104
2020-05-15,H,71
2020-05-15,M,123
2020-05-16,H,27
2020-05-16,M,70
2020-05-17,H,16
2020-05-17,M,33
2020-05-18,H,76
2020-05-18,M,115
2020-05-19,H,86
2020-05-19,M,179
2020-05-20,H,68
2020-05-20,M,131
2020-05-21,H,100
2020-05-21,M,186
2020-05-22,H,115
2020-05-22,M,248
2020-05-23,H,35
2020-05-23,M,53
2020-05-24,H,48
2020-05-24,M,64
2020-05-25,H,71
2020-05-25,M,154
2020-05-26,H,71
2020-05-26,M,145
2020-05-27,H,60
2020-05-27,M,112
2020-05-28,H,63
2020-05-28,M,135
2020-05-29,H,81
2020-05-29,M,138
2020-05-30,H,33
2020-05-30,M,61
2020-05-31,H,18
2020-05-31,M,19
2020-06-01,H,15
2020-06-01,M,22
2020-06-02,H,22
2020-06-02,M,58
2020-06-03,H,57
2020-06-03,M,87
2020-06-04,H,48
2020-06-04,M,76
2020-06-05,H,70
2020-06-05,M,99
2020-06-06,H,17
2020-06-06,M,36
2020-06-07,H,17
2020-06-07,M,15
2020-06-08,H,27
2020-06-08,M,50
2020-06-09,H,40
2020-06-09,M,76
2020-06-10,H,58
2020-06-10,M,93
2020-06-11,H,42
2020-06-11,M,66
2020-06-12,H,46
2020-06-12,M,82
2020-06-13,H,11
2020-06-13,M,15
2020-06-14,H,14
2020-06-14,M,8
2020-06-15,H,21
2020-06-15,M,31
2020-06-16,H,37
2020-06-16,M,45
2020-06-17,H,26
2020-06-17,M,29
2020-06-18,H,22
2020-06-18,M,46
2020-06-19,H,40
2020-06-19,M,38
2020-06-20,H,11
2020-06-20,M,10
2020-06-21,H,10
2020-06-21,M,6
2020-06-22,H,36
2020-06-22,M,35
2020-06-23,H,39
2020-06-23,M,63
2020-06-24,H,9
2020-06-24,M,10
2020-06-25,H,24
2020-06-25,M,53
2020-06-26,H,47
2020-06-26,M,85
2020-06-27,H,12
2020-06-27,M,11
2020-06-28,H,7
2020-06-28,M,9
2020-06-29,H,35
2020-06-29,M,34
2020-06-30,H,47
2020-06-30,M,52
2020-07-01,H,53
2020-07-01,M,65
2020-07-02,H,43
2020-07-02,M,70
2020-07-03,H,60
2020-07-03,M,73
2020-07-04,H,26
2020-07-04,M,26
2020-07-05,H,15
2020-07-05,M,9
2020-07-06,H,42
2020-07-06,M,49
2020-07-07,H,93
2020-07-07,M,82
2020-07-08,H,97
2020-07-08,M,75
2020-07-09,H,112
2020-07-09,M,101
2020-07-10,H,223
2020-07-10,M,200
2020-07-11,H,56
2020-07-11,M,30
2020-07-12,H,46
2020-07-12,M,31
2020-07-13,H,174
2020-07-13,M,142
2020-07-14,H,214
2020-07-14,M,191
2020-07-15,H,256
2020-07-15,M,258
2020-07-16,H,276
2020-07-16,M,284
2020-07-17,H,418
2020-07-17,M,396
2020-07-18,H,155
2020-07-18,M,128
2020-07-19,H,131
2020-07-19,M,141
2020-07-20,H,271
2020-07-20,M,268
2020-07-21,H,443
2020-07-21,M,460
2020-07-22,H,385
2020-07-22,M,440
2020-07-23,H,448
2020-07-23,M,422
2020-07-24,H,444
2020-07-24,M,491
2020-07-25,H,189
2020-07-25,M,186
2020-07-26,H,156
2020-07-26,M,152
2020-07-27,H,342
2020-07-27,M,359
2020-07-28,H,498
2020-07-28,M,497
2020-07-29,H,493
2020-07-29,M,580
2020-07-30,H,448
2020-07-30,M,477
2020-07-31,H,505
2020-07-31,M,523
2020-08-01,H,227
2020-08-01,M,228
2020-08-02,H,126
2020-08-02,M,108
2020-08-03,H,363
2020-08-03,M,330
2020-08-04,H,466
2020-08-04,M,490
2020-08-05,H,426
2020-08-05,M,491
2020-08-06,H,419
2020-08-06,M,483
2020-08-07,H,510
2020-08-07,M,565
2020-08-08,H,219
2020-08-08,M,229
2020-08-09,H,139
2020-08-09,M,141
2020-08-10,H,404
2020-08-10,M,411
2020-08-11,H,431
2020-08-11,M,490
2020-08-12,H,442
2020-08-12,M,510
2020-08-13,H,447
2020-08-13,M,494
2020-08-14,H,497
2020-08-14,M,515
2020-08-15,H,203
2020-08-15,M,192
2020-08-16,H,150
2020-08-16,M,135
2020-08-17,H,370
2020-08-17,M,404
2020-08-18,H,517
2020-08-18,M,520
2020-08-19,H,477
2020-08-19,M,506
2020-08-20,H,522
2020-08-20,M,544
2020-08-21,H,514
2020-08-21,M,535
2020-08-22,H,202
2020-08-22,M,193
2020-08-23,H,166
2020-08-23,M,166
2020-08-24,H,433
2020-08-24,M,467
2020-08-25,H,565
