fecha,sexo,num_casos
2020-05-05,M,185
2020-05-06,H,76
2020-05-06,M,206
2020-05-07,H,86
2020-05-07,M,186
2020-05-08,H,73
2020-05-08,M,161
2020-05-09,H,28
2020-05-09,M,58
2020-05-10,H,26
2020-05-10,M,29
2020-05-11,H,68
2020-05-11,M,154
2020-05-12,H,98
2020-05-12,M,177
2020-05-13,H,91
2020-05-13,M,158
2020-05-14,H,93
2020-05-14,M,160
2020-05-15,H,59
2020-05-15,M,128
2020-05-16,H,9
2020-05-16,M,22
2020-05-17,H,24
2020-05-17,M,28
2020-05-18,H,66
2020-05-18,M,97
2020-05-19,H,86
2020-05-19,M,145
2020-05-20,H,81
2020-05-20,M,143
2020-05-21,H,77
2020-05-21,M,109
2020-05-22,H,48
2020-05-22,M,85
2020-05-23,H,13
2020-05-23,M,32
2020-05-24,H,6
2020-05-24,M,12
2020-05-25,H,40
2020-05-25,M,79
2020-05-26,H,94
2020-05-26,M,126
2020-05-27,H,67
2020-05-27,M,100
2020-05-28,H,60
2020-05-28,M,109
2020-05-29,H,77
2020-05-29,M,125
2020-05-30,H,14
2020-05-30,M,35
2020-05-31,H,21
2020-05-31,M,29
2020-06-01,H,53
2020-06-01,M,96
2020-06-02,H,68
2020-06-02,M,110
2020-06-03,H,92
2020-06-03,M,133
2020-06-04,H,80
2020-06-04,M,79
2020-06-05,H,64
2020-06-05,M,112
2020-06-06,H,45
2020-06-06,M,43
2020-06-07,H,8
2020-06-07,M,16
2020-06-08,H,44
2020-06-08,M,83
2020-06-09,H,64
2020-06-09,M,73
2020-06-10,H,64
2020-06-10,M,89
2020-06-11,H,50
2020-06-11,M,83
2020-06-12,H,80
2020-06-12,M,110
2020-06-13,H,7
2020-06-13,M,8
2020-06-14,H,5
2020-06-14,M,13
2020-06-15,H,43
2020-06-15,M,93
2020-06-16,H,52
2020-06-16,M,83
2020-06-17,H,53
2020-06-17,M,86
2020-06-18,H,49
2020-06-18,M,79
2020-06-19,H,39
2020-06-19,M,69
2020-06-20,H,25
2020-06-20,M,19
2020-06-21,H,12
2020-06-21,M,12
2020-06-22,H,8
2020-06-22,M,32
2020-06-23,H,43
2020-06-23,M,51
2020-06-24,H,25
2020-06-24,M,38
2020-06-25,H,45
2020-06-25,M,43
2020-06-26,H,31
2020-06-26,M,46
2020-06-27,H,13
2020-06-27,M,19
2020-06-28,H,6
2020-06-28,M,5
2020-06-29,H,31
2020-06-29,M,25
2020-06-30,H,33
2020-06-30,M,59
2020-07-01,H,13
2020-07-01,M,26
2020-07-02,H,28
2020-07-02,M,36
2020-07-03,H,39
2020-07-03,M,33
2020-07-04,H,13
2020-07-04,M,7
2020-07-05,H,8
2020-07-05,M,12
2020-07-06,H,16
2020-07-06,M,25
2020-07-07,H,31
2020-07-07,M,49
2020-07-08,H,33
2020-07-08,M,33
2020-07-09,H,26
2020-07-09,M,26
2020-07-10,H,43
2020-07-10,M,51
2020-07-11,H,10
2020-07-11,M,12
2020-07-12,H,8
2020-07-12,M,9
2020-07-13,H,28
2020-07-13,M,55
2020-07-14,H,63
2020-07-14,M,95
2020-07-15,H,42
2020-07-15,M,65
2020-07-16,H,45
2020-07-16,M,61
2020-07-17,H,110
2020-07-17,M,132
2020-07-18,H,27
2020-07-18,M,61
2020-07-19,H,17
2020-07-19,M,8
2020-07-20,H,55
2020-07-20,M,61
2020-07-21,H,97
2020-07-21,M,106
2020-07-22,H,97
2020-07-22,M,90
2020-07-23,H,118
2020-07-23,M,103
2020-07-24,H,234
2020-07-24,M,233
2020-07-25,H,84
2020-07-25,M,91
2020-07-26,H,47
2020-07-26,M,32
2020-07-27,H,148
2020-07-27,M,113
2020-07-28,H,256
2020-07-28,M,239
2020-07-29,H,233
2020-07-29,M,272
2020-07-30,H,346
2020-07-30,M,373
2020-07-31,H,402
2020-07-31,M,466
2020-08-01,H,140
2020-08-01,M,142
2020-08-02,H,107
2020-08-02,M,75
2020-08-03,H,194
2020-08-03,M,292
2020-08-04,H,553
2020-08-04,M,578
2020-08-05,H,532
2020-08-05,M,534
2020-08-06,H,604
2020-08-06,M,651
2020-08-07,H,782
2020-08-07,M,919
2020-08-08,H,267
2020-08-08,M,276
2020-08-09,H,176
2020-08-09,M,177
2020-08-10,H,359
2020-08-10,M,404
2020-08-11,H,1071
2020-08-11,M,1230
2020-08-12,H,1015
2020-08-12,M,1008
2020-08-13,H,1080
2020-08-13,M,1182
2020-08-14,H,1472
2020-08-14,M,1605
2020-08-15,H,393
2020-08-15,M,413
2020-08-16,H,263
